sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
0,1.5316350618377328e-06,5.726166364183882e-08,7.658175309188664e-05,2.863083182091941e-06,7.658175309188664e-05,2.863083182091941e-06,0.0,0.0,[],0.038674204856440235,29.16971,29.18126,0.0,0.0,0.0
1,4.560485831461847e-06,1.7059306173905497e-07,0.0001514425384812057,5.666569904860808e-06,0.0001514425384812057,5.666569904860808e-06,0.0,0.0,[],0.03866674,29.16971,29.18126,0.0,0.0,0.0
2,9.057604911504313e-06,3.3880980026879115e-07,0.00022485595400212333,8.410836926486809e-06,0.00022485595400212333,8.410836926486809e-06,0.0,0.0,[],0.038658928,29.16971,29.18126,0.0,0.0,0.0
3,1.4989971678005532e-05,5.607656294159825e-07,0.0002966183383250609,1.1097791457359563e-05,0.0002966183383250609,1.1097791457359563e-05,0.0,0.0,[],0.038650773,29.16971,29.18126,0.0,0.0,0.0
4,2.234602317912504e-05,8.359518733414008e-07,0.00036780257505597547,1.3759312196270912e-05,0.00036780257505597547,1.3759312196270912e-05,0.0,0.0,[],0.038642257,29.16971,29.18126,0.0,0.0,0.0
5,3.10932457796298e-05,1.1631844336079667e-06,0.0004373611300252378,1.63616280133283e-05,0.0004373611300252378,1.63616280133283e-05,0.0,0.0,[],0.038633376,29.16971,29.18126,0.0,0.0,0.0
6,4.118546101381071e-05,1.543976472930808e-06,0.0005046107617090456,1.9039601966142072e-05,0.0005046107617090456,1.9039601966142072e-05,0.0,0.0,[],0.038624123,29.16971,29.18126,0.0,0.0,0.0
7,5.259227575152181e-05,1.9772062933043344e-06,0.0005703407368855551,2.1661491018676315e-05,0.0005703407368855551,2.1661491018676315e-05,0.0,0.0,[],0.03861449,29.16971,29.18126,0.0,0.0,0.0
8,6.528396625071764e-05,2.4617769622636843e-06,0.0006345845249597915,2.4228533447967493e-05,0.0006345845249597915,2.4228533447967493e-05,0.0,0.0,[],0.03860447,29.16971,29.18126,0.0,0.0,0.0
9,7.92309305688832e-05,2.996615171468875e-06,0.0006973482159082778,2.6741910460259533e-05,0.0006973482159082778,2.6741910460259533e-05,0.0,0.0,[],0.038594056,29.16971,29.18126,0.0,0.0,0.0
