sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,mu_dot_Shoulder,mu_dot_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
0,-3.3120851730927826e-06,-5.170812801225111e-07,-0.00016560425865463912,-2.5854064006125554e-05,-0.00016560425865463912,-2.5854064006125554e-05,-0.008280213,-0.0012927032,0.0,0.0,[],0.031307886302747466,29.127193,29.26004,0.0,0.0,0.0
1,-9.867892367765308e-06,-1.5408286344609223e-06,-0.00032779035973362625,-5.118736771692056e-05,-0.00032779035973362625,-5.118736771692056e-05,-0.008109305,-0.0012666652,0.0,0.0,[],0.03130288,29.127193,29.26004,0.0,0.0,0.0
2,-1.9605535198934378e-05,-3.0607301596319306e-06,-0.00048688214155845344,-7.59950762585504e-05,-0.00048688214155845344,-7.59950762585504e-05,-0.007954589,-0.0012403855,0.0,0.0,[],0.031297617,29.127193,29.26004,0.0,0.0,0.0
3,-3.245786385377869e-05,-5.066741250630002e-06,-0.0006426164327422157,-0.00010030055454990361,-0.0006426164327422157,-0.00010030055454990361,-0.007786715,-0.001215274,0.0,0.0,[],0.031292096,29.127193,29.26004,0.0,0.0,0.0
4,-4.8359108623117204e-05,-7.549014444521163e-06,-0.0007950622384669259,-0.000124113659694558,-0.0007950622384669259,-0.000124113659694558,-0.0076222904,-0.0011906553,0.0,0.0,[],0.03128631,29.127193,29.26004,0.0,0.0,0.0
5,-6.267163218581117e-05,-9.935036259776098e-06,-0.0007156261781346984,-0.00011930109076274675,-0.0007156261781346984,-0.00011930109076274675,0.003971803,0.00024062845,0.0,0.0,[],0.031280257,29.127193,29.26004,0.0,0.0,0.0
6,-7.543177634943276e-05,-1.222670724928321e-05,-0.0006380072081810795,-0.00011458354947535554,-0.0006380072081810795,-0.00011458354947535554,0.0038809485,0.00023587707,0.0,0.0,[],0.031273924,29.127193,29.26004,0.0,0.0,0.0
7,-8.667306945426389e-05,-1.4425952313104063e-05,-0.0005620646552415565,-0.00010996225319104269,-0.0005620646552415565,-0.00010996225319104269,0.0037971279,0.00023106481,0.0,0.0,[],0.031267308,29.127193,29.26004,0.0,0.0,0.0
8,-9.642897435696794e-05,-1.6534660308025195e-05,-0.000487795245135203,-0.00010543539974605665,-0.000487795245135203,-0.00010543539974605665,0.0037134707,0.00022634267,0.0,0.0,[],0.0312604,29.127193,29.26004,0.0,0.0,0.0
9,-0.00010473222064319997,-1.8554681892055667e-05,-0.0004151623143116012,-0.00010100107920152368,-0.0004151623143116012,-0.00010100107920152368,0.0036316465,0.00022171604,0.0,0.0,[],0.0312532,29.127193,29.26004,0.0,0.0,0.0
