sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,mu_dot_Shoulder,mu_dot_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
0,-4.094370233360678e-06,-6.392115756170825e-07,-0.0002047185116680339,-3.196057878085412e-05,-0.0002047185116680339,-3.196057878085412e-05,-0.010235926,-0.001598029,0.0,0.0,[],0.03870253980725035,29.095726,29.104237,0.0,0.0,0.0
1,-1.2197430769447236e-05,-1.9047063688049093e-06,-0.00040515302680432796,-6.327473965939134e-05,-0.00040515302680432796,-6.327473965939134e-05,-0.010021726,-0.0015657081,0.0,0.0,[],0.038693704,29.095726,29.104237,0.0,0.0,0.0
2,-2.4231544812209905e-05,-3.783436623052694e-06,-0.0006017057021381333,-9.393651271238923e-05,-0.0006017057021381333,-9.393651271238923e-05,-0.009827634,-0.0015330887,0.0,0.0,[],0.03868449,29.095726,29.104237,0.0,0.0,0.0
3,-3.446362985414453e-05,-5.566991576415604e-06,-0.0005116042520967312,-8.917774766814546e-05,-0.0005116042520967312,-8.917774766814546e-05,0.0045050727,0.00023793826,0.0,0.0,[],0.038674902,29.095726,29.104237,0.0,0.0,0.0
4,-4.2934239172609526e-05,-7.2573332363390375e-06,-0.0004235304659232497,-8.451708299617167e-05,-0.0004235304659232497,-8.451708299617167e-05,0.0044036894,0.00023303325,0.0,0.0,[],0.038664926,29.095726,29.104237,0.0,0.0,0.0
5,-4.9683030229061847e-05,-8.856383319653106e-06,-0.00033743955282261595,-7.995250416570343e-05,-0.00033743955282261595,-7.995250416570343e-05,0.004304546,0.00022822895,0.0,0.0,[],0.03865456,29.095726,29.104237,0.0,0.0,0.0
6,-5.47488006122876e-05,-1.0366025207986242e-05,-0.0002532885191612877,-7.548209441665676e-05,-0.0002532885191612877,-7.548209441665676e-05,0.004207552,0.0002235205,0.0,0.0,[],0.03864379,29.095726,29.104237,0.0,0.0,0.0
7,-5.816980250529014e-05,-1.1788082611019492e-05,-0.000171050094650127,-7.11028701516625e-05,-0.000171050094650127,-7.11028701516625e-05,0.0041119214,0.00021896123,0.0,0.0,[],0.03863261,29.095726,29.104237,0.0,0.0,0.0
8,-5.998404551064596e-05,-1.3124365232215497e-05,-9.0712150267791e-05,-6.681413105980027e-05,-9.0712150267791e-05,-6.681413105980027e-05,0.004016897,0.00021443696,0.0,0.0,[],0.038621012,29.095726,29.104237,0.0,0.0,0.0
9,-6.022877903888002e-05,-1.4376672634170975e-05,-1.2236676411703229e-05,-6.261537009777385e-05,-1.2236676411703229e-05,-6.261537009777385e-05,0.0039237738,0.00020993805,0.0,0.0,[],0.038608994,29.095726,29.104237,0.0,0.0,0.0
