sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,mu_dot_Shoulder,mu_dot_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
0,-1.0579072841210292e-06,-1.651601087360177e-07,-5.2895364206051454e-05,-8.258005436800886e-06,-5.2895364206051454e-05,-8.258005436800886e-06,-0.0026447682,-0.0004129003,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
1,-3.1522523931926118e-06,-4.921738764096517e-07,-0.00010471725545357913,-1.63506883836817e-05,-0.00010471725545357913,-1.63506883836817e-05,-0.0025910947,-0.00040463413,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
2,-6.262001988943666e-06,-9.778011008165778e-07,-0.00015548747978755273,-2.4281361220346298e-05,-0.00015548747978755273,-2.4281361220346298e-05,-0.0025385113,-0.00039653364,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
3,-1.036701512930449e-05,-1.6188793961191552e-06,-0.00020525065701804124,-3.2053914765128866e-05,-0.00020525065701804124,-3.2053914765128866e-05,-0.0024881589,-0.00038862767,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
4,-1.5447092810063623e-05,-2.4122967170114862e-06,-0.0002540038840379566,-3.967086604461656e-05,-0.0002540038840379566,-3.967086604461656e-05,-0.0024376614,-0.00038084757,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
5,-2.1483422606252135e-05,-3.355003736942308e-06,-0.00030181648980942555,-4.713535099654109e-05,-0.00030181648980942555,-4.713535099654109e-05,-0.0023906303,-0.00037322426,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
6,-2.8456597865442747e-05,-4.444011765372125e-06,-0.0003486587629595306,-5.4450401421490824e-05,-0.0003486587629595306,-5.4450401421490824e-05,-0.0023421138,-0.00036575252,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
7,-3.634871980466414e-05,-5.676308092006366e-06,-0.00039460609696106985,-6.161481633171206e-05,-0.00039460609696106985,-6.161481633171206e-05,-0.0022973667,-0.00035822074,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
8,-4.5141138325561766e-05,-7.049024106891011e-06,-0.00043962092604488134,-6.863580074423226e-05,-0.00043962092604488134,-6.863580074423226e-05,-0.0022507415,-0.00035104924,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
9,-5.4815582261653615e-05,-8.559348698327085e-06,-0.0004837221968045924,-7.55162295718037e-05,-0.0004837221968045924,-7.55162295718037e-05,-0.0022050636,-0.00034402145,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
10,-6.535415181133431e-05,-1.0204527006862918e-05,-0.0005269284774840344,-8.225891542679165e-05,-0.0005269284774840344,-8.225891542679165e-05,-0.002160314,-0.0003371343,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
11,-7.67393102432834e-05,-1.1981859324805555e-05,-0.0005692579215974547,-8.886661589713185e-05,-0.0005692579215974547,-8.886661589713185e-05,-0.0021164722,-0.00033038502,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
12,-8.895387902157382e-05,-1.3888700050301851e-05,-0.0006107284389145207,-9.534203627481475e-05,-0.0006107284389145207,-9.534203627481475e-05,-0.002073526,-0.00032377103,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
13,-0.00010198102376307362,-1.5922456441330723e-05,-0.0006513572370749898,-0.00010168781955144368,-0.0006513572370749898,-0.00010168781955144368,-0.00203144,-0.00031728917,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
14,-0.00011580425445572474,-1.8080587660733728e-05,-0.0006911615346325561,-0.00010790656097015017,-0.0006911615346325561,-0.00010790656097015017,-0.001990215,-0.0003109371,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
15,-0.00013040883393841796,-2.0360623238957487e-05,-0.0007302289741346613,-0.00011400177891118801,-0.0007302289741346613,-0.00011400177891118801,-0.001953372,-0.0003047609,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
16,-0.0001457885450508911,-2.2760106676287252e-05,-0.000768985555623658,-0.00011997417186648818,-0.000768985555623658,-0.00011997417186648818,-0.0019378291,-0.00029861965,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
17,-0.00016193049079447517,-2.527651158743538e-05,-0.0008070972871792037,-0.00012582024555740645,-0.0008070972871792037,-0.00012582024555740645,-0.0019055866,-0.00029230368,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
18,-0.000178819202556042,-2.790749725136266e-05,-0.0008444355880783405,-0.00013154928319636383,-0.0008444355880783405,-0.00013154928319636383,-0.0018669151,-0.0002864519,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
19,-0.0001964415150723653,-3.0650421704194743e-05,-0.0008811156258161645,-0.00013714622264160425,-0.0008811156258161645,-0.00013714622264160425,-0.0018340019,-0.00027984698,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
20,-0.00021478254151588772,-3.3503043987366254e-05,-0.0009170513221761212,-0.00014263111415857566,-0.0009170513221761212,-0.00014263111415857566,-0.0017967848,-0.00027424458,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
21,-0.00023382769635645672,-3.646316788945114e-05,-0.0009522577420284506,-0.0001480061951042444,-0.0009522577420284506,-0.0001480061951042444,-0.0017603211,-0.00026875405,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
22,-0.0002535519281082088,-3.952770151045115e-05,-0.0009862115875876043,-0.00015322668105000048,-0.0009862115875876043,-0.00015322668105000048,-0.0016976923,-0.0002610243,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
23,-0.00027394145690777804,-4.269455475878203e-05,-0.0010194764399784617,-0.00015834266241654404,-0.0010194764399784617,-0.00015834266241654404,-0.0016632426,-0.00025579907,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
24,-0.00029498278294340705,-4.596167924319161e-05,-0.0010520663017814513,-0.0001633562242204789,-0.0010520663017814513,-0.0001633562242204789,-0.0016294932,-0.0002506781,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
25,-0.00031666268019762354,-4.932706757244887e-05,-0.0010839948627108242,-0.00016826941646286286,-0.0010839948627108242,-0.00016826941646286286,-0.0015964281,-0.0002456596,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
26,-0.0003389681912813103,-5.278875262774818e-05,-0.0011152755541843362,-0.00017308425276496564,-0.0011152755541843362,-0.00017308425276496564,-0.0015640346,-0.00024074182,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
27,-0.00036188661986670924,-5.634480658954999e-05,-0.0011459214292699471,-0.00017780269809009042,-0.0011459214292699471,-0.00017780269809009042,-0.0015322939,-0.00023592227,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
28,-0.00038540552926860986,-5.9993340300934506e-05,-0.00117594547009503,-0.0001824266855692258,-0.00117594547009503,-0.0001824266855692258,-0.0015012021,-0.00023119937,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
29,-0.00040951273469545416,-6.373250244905649e-05,-0.0012053602713422151,-0.00018695810740609886,-0.0012053602713422151,-0.00018695810740609886,-0.0014707401,-0.00022657111,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
30,-0.0004341962715625414,-6.756047938324628e-05,-0.001234176843354362,-0.0001913988467094896,-0.001234176843354362,-0.0001913988467094896,-0.0014408287,-0.00022203698,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
