sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,mu_dot_Shoulder,mu_dot_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
0,-1.0579072841210292e-06,-1.6516012692591176e-07,-5.2895364206051454e-05,-8.258006346295588e-06,-5.2895364206051454e-05,-8.258006346295588e-06,-0.0026447682,-0.00041290032,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
1,-3.1522522476734594e-06,-4.921739127894398e-07,-0.00010471724817762151,-1.63506892931764e-05,-0.00010471724817762151,-1.63506892931764e-05,-0.0025910942,-0.00040463416,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
2,-6.26200191618409e-06,-9.7780115538626e-07,-0.00015548748342553154,-2.4281362129841e-05,-0.00015548748342553154,-2.4281362129841e-05,-0.0025385118,-0.00039653367,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
3,-1.0367015420342796e-05,-1.6188794688787314e-06,-0.00020525067520793527,-3.205391567462357e-05,-0.00020525067520793527,-3.205391567462357e-05,-0.0024881596,-0.00038862767,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
4,-1.544709324662108e-05,-2.4122967988660097e-06,-0.0002540038913139142,-3.967086649936391e-05,-0.0002540038913139142,-3.967086649936391e-05,-0.002437661,-0.00038084754,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
5,-2.148342326108832e-05,-3.3550038642715665e-06,-0.00030181650072336197,-4.7135353270277847e-05,-0.00030181650072336197,-4.7135353270277847e-05,-0.0023906305,-0.00037322435,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
6,-2.8456598593038506e-05,-4.444011974555906e-06,-0.0003486587665975094,-5.445040551421698e-05,-0.0003486587665975094,-5.445040551421698e-05,-0.0023421133,-0.0003657526,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
7,-3.634872060501948e-05,-5.676308383044671e-06,-0.00039460610059904866,-6.161482042443822e-05,-0.00039460610059904866,-6.161482042443822e-05,-0.0022973667,-0.00035822074,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
8,-4.514113919867668e-05,-7.049024479783839e-06,-0.00043962092968286015,-6.863580483695841e-05,-0.00043962092968286015,-6.863580483695841e-05,-0.0022507415,-0.00035104924,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
9,-5.4815583207528104e-05,-8.559349143979489e-06,-0.0004837222004425712,-7.551623320978251e-05,-0.0004837222004425712,-7.551623320978251e-05,-0.0022050636,-0.00034402142,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
10,-6.535415282996836e-05,-1.020452748889511e-05,-0.0005269284811220132,-8.225891724578105e-05,-0.0005269284811220132,-8.225891724578105e-05,-0.002160314,-0.0003371342,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
11,-7.673931162571534e-05,-1.1981859843217536e-05,-0.0005692579397873487,-8.886661771612125e-05,-0.0005692579397873487,-8.886661771612125e-05,-0.002116473,-0.00033038502,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
12,-8.895388040400576e-05,-1.3888700650568354e-05,-0.0006107284389145207,-9.53420403675409e-05,-0.0006107284389145207,-9.53420403675409e-05,-0.002073525,-0.00032377115,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
13,-0.00010198102492722683,-1.5922457132546698e-05,-0.0006513572261610534,-0.00010168782409891719,-0.0006513572261610534,-0.00010168782409891719,-0.0020314394,-0.0003172892,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
14,-0.0001158042554743588,-1.8080588461089064e-05,-0.0006911615273565985,-0.00010790656642711838,-0.0006911615273565985,-0.00010790656642711838,-0.0019902152,-0.00031093712,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
15,-0.00013040883481153288,-2.0360624139357244e-05,-0.0007302289668587036,-0.00011400178391340887,-0.0007302289668587036,-0.00011400178391340887,-0.001953372,-0.00030476088,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
16,-0.00014578854585124647,-2.2760107676731425e-05,-0.0007689855519856792,-0.00011997417686870904,-0.0007689855519856792,-0.00011997417686870904,-0.0019378293,-0.00029861965,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
