sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,mu_dot_Shoulder,mu_dot_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
0,3.9603481127414853e-07,1.480618607274664e-08,1.9801740563707426e-05,7.40309303637332e-07,1.9801740563707426e-05,7.40309303637332e-07,0.000990087,3.7015467e-05,0.0,0.0,[],0.01,58.79386,59.7608,0.14140469,16.296,11.99
1,1.1799502317444421e-06,4.412013822729932e-08,3.919577102351468e-05,1.465697607727634e-06,3.919577102351468e-05,1.465697607727634e-06,0.0009697015,3.6269415e-05,0.0,0.0,[],0.01,58.79386,59.7608,0.14140469,16.296,11.99
2,2.3437603522324933e-06,8.76493413670687e-08,5.8190506024402566e-05,2.176460156988469e-06,5.8190506024402566e-05,2.176460156988469e-06,0.0009497368,3.5538127e-05,0.0,0.0,[],0.01,58.79386,59.7608,0.14140469,16.296,11.99
3,3.879642245010473e-06,1.4510695450553613e-07,7.679409463889897e-05,2.872880656923371e-06,7.679409463889897e-05,2.872880656923371e-06,0.00093017943,3.4821027e-05,0.0,0.0,[],0.01,58.79386,59.7608,0.14140469,16.296,11.99
4,5.65516143979039e-06,2.1333341919671518e-08,8.877595973899588e-05,-6.188680629293231e-06,8.877595973899588e-05,-6.188680629293231e-06,0.00059909327,-0.00045307807,0.0,0.0,[],0.01,58.79386,59.7608,0.14140469,16.296,11.99
5,7.665463817829732e-06,-2.8004697810501966e-07,0.00010051511890196707,-1.5069016001234559e-05,0.00010051511890196707,-1.5069016001234559e-05,0.00058695796,-0.00044401677,0.0,0.0,[],0.01,58.79386,59.7608,0.14140469,16.296,11.99
6,9.905793885991442e-06,-7.554818466815049e-07,0.00011201650340808555,-2.3771743428824266e-05,0.00011201650340808555,-2.3771743428824266e-05,0.0005750692,-0.00043513638,0.0,0.0,[],0.01,58.79386,59.7608,0.14140469,16.296,11.99
7,1.2371493157843359e-05,-1.4014902092185366e-06,0.00012328496359259589,-3.230041812685158e-05,0.00012328496359259589,-3.230041812685158e-05,0.00056342303,-0.00042643375,0.0,0.0,[],0.01,58.79386,59.7608,0.14140469,16.296,11.99
8,1.505799546066555e-05,-2.2146606056594464e-06,0.00013432511514110956,-4.065851982204549e-05,0.00013432511514110956,-4.065851982204549e-05,0.0005520076,-0.0004179051,0.0,0.0,[],0.01,58.79386,59.7608,0.14140469,16.296,11.99
9,1.7972797886613987e-05,-3.191689041841528e-06,0.00014574012129742187,-4.885142180910407e-05,0.00014574012129742187,-4.885142180910407e-05,0.00057075033,-0.0004096451,0.0,0.0,[],0.01,58.79386,59.7608,0.14140469,16.296,11.99
10,2.1111275746079624e-05,-4.329298481025035e-06,0.0001569238929732819,-5.688047195917534e-05,0.0001569238929732819,-5.688047195917534e-05,0.0005591886,-0.00040145253,0.0,0.0,[],0.01,58.79386,59.7608,0.14140469,16.296,11.99
