sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,mu_dot_Shoulder,mu_dot_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
0,1.4786339306738227e-06,5.5280193009821236e-08,7.393169653369114e-05,2.7640096504910616e-06,7.393169653369114e-05,2.7640096504910616e-06,0.0036965848,0.00013820048,0.0,0.0,[],0.037335900551834535,58.762394,58.81773,0.14140469,16.296,11.99
1,4.402491613291204e-06,1.6467873592773685e-07,0.00014619288413086906,5.469927145895781e-06,0.00014619288413086906,5.469927145895781e-06,0.0036130594,0.00013529588,0.0,0.0,[],0.03732103,58.762394,58.81773,0.14140469,16.296,11.99
2,8.319764674524777e-06,-4.000815943072667e-07,0.00019586365306167863,-2.8238016511750175e-05,0.00019586365306167863,-2.8238016511750175e-05,0.0024835386,-0.0016853972,0.0,0.0,[],0.037305694,58.762394,58.81773,0.14140469,16.296,11.99
3,1.3209105673013256e-05,-1.6252285013251822e-06,0.0002444670499244239,-6.125734535089578e-05,0.0002444670499244239,-6.125734535089578e-05,0.0024301698,-0.0016509665,0.0,0.0,[],0.037289884,58.762394,58.81773,0.14140469,16.296,11.99
4,1.9008690724149347e-05,-3.4984706371687935e-06,0.00028997925255680457,-9.366210679218057e-05,0.00028997925255680457,-9.366210679218057e-05,0.00227561,-0.0016202382,0.0,0.0,[],0.037273586,58.762394,58.81773,0.14140469,16.296,11.99
5,2.5698973913677037e-05,-6.00654458594363e-06,0.0003345141594763845,-0.0001254036974387418,0.0003345141594763845,-0.0001254036974387418,0.0022267455,-0.0015870795,0.0,0.0,[],0.0372568,58.762394,58.81773,0.14140469,16.296,11.99
6,3.326079437101726e-05,-9.136441663031292e-06,0.0003780910228670109,-0.0001564948538543831,0.0003780910228670109,-0.0001564948538543831,0.0021788431,-0.0015545579,0.0,0.0,[],0.03723952,58.762394,58.81773,0.14140469,16.296,11.99
7,4.165628939517774e-05,-1.2872002803305805e-05,0.0004197747512080241,-0.00018677805701372563,0.0004197747512080241,-0.00018677805701372563,0.0020841865,-0.0015141602,0.0,0.0,[],0.037221737,58.762394,58.81773,0.14140469,16.296,11.99
8,5.08839514805004e-05,-1.719749574931484e-05,0.00046138310426613316,-0.00021627464730045176,0.00046138310426613316,-0.00021627464730045176,0.0020804177,-0.0014748295,0.0,0.0,[],0.037203442,58.762394,58.81773,0.14140469,16.296,11.99
9,6.092365161748603e-05,-2.210078180269193e-05,0.0005019850068492815,-0.00024516430266885436,0.0005019850068492815,-0.00024516430266885436,0.002030095,-0.0014444828,0.0,0.0,[],0.037184633,58.762394,58.81773,0.14140469,16.296,11.99
10,7.175784812716302e-05,-2.756996189873462e-05,0.0005417098254838493,-0.0002734590048021346,0.0005417098254838493,-0.0002734590048021346,0.001986241,-0.0014147351,0.0,0.0,[],0.037165303,58.762394,58.81773,0.14140469,16.296,11.99
11,8.336935919942335e-05,-3.3593365728847857e-05,0.0005805755536130164,-0.00030117019150566193,0.0005805755536130164,-0.00030117019150566193,0.0019432865,-0.0013855593,0.0,0.0,[],0.03714544,58.762394,58.81773,0.14140469,16.296,11.99
12,9.574134797730949e-05,-4.015954642909492e-05,0.0006185994388943072,-0.000328309035012353,0.0006185994388943072,-0.000328309035012353,0.0019011942,-0.0013569422,0.0,0.0,[],0.03712504,58.762394,58.81773,0.14140469,16.296,11.99
13,0.00010885731462622062,-4.7257276432901565e-05,0.0006557983324455563,-0.0003548865001903323,0.0006557983324455563,-0.0003548865001903323,0.0018599447,-0.0013288733,0.0,0.0,[],0.037104096,58.762394,58.81773,0.14140469,16.296,11.99
14,0.00012269743310753257,-5.487552695285558e-05,0.0006920059240655974,-0.00038091252599770087,0.0006920059240655974,-0.00038091252599770087,0.0018103797,-0.0013013013,0.0,0.0,[],0.037082605,58.762394,58.81773,0.14140469,16.296,11.99
15,0.00013724593532970174,-6.300349552020635e-05,0.0007274251111084595,-0.00040639842836753814,0.0007274251111084595,-0.00040639842836753814,0.0017709595,-0.0012742952,0.0,0.0,[],0.037060563,58.762394,58.81773,0.14140469,16.296,11.99
16,0.00015248688316205517,-7.163060191032856e-05,0.0007620473916176707,-0.0004313553195061104,0.0007620473916176707,-0.0004313553195061104,0.001731114,-0.0012478445,0.0,0.0,[],0.037037957,58.762394,58.81773,0.14140469,16.296,11.99
17,0.00016840514741488732,-8.074645118085756e-05,0.000795913212641608,-0.00045579246352644986,0.000795913212641608,-0.00045579246352644986,0.001693291,-0.0012218573,0.0,0.0,[],0.037014782,58.762394,58.81773,0.14140469,16.296,11.99
18,0.00018498590405215508,-9.034084582253855e-05,0.0008290378318633884,-0.0004797197320840496,0.0008290378318633884,-0.0004797197320840496,0.001656231,-0.0011963635,0.0,0.0,[],0.036991034,58.762394,58.81773,0.14140469,16.296,11.99
19,0.00020220124417392072,-0.00010040360113180214,0.000860767006088281,-0.0005031377654631797,0.000860767006088281,-0.0005031377654631797,0.0015864588,-0.0011709017,0.0,0.0,[],0.036966704,58.762394,58.81773,0.14140469,16.296,11.99
20,0.0002200503806670895,-0.00011092540028130317,0.0008924568246584386,-0.000526089957475051,0.0008924568246584386,-0.000526089957475051,0.001584491,-0.0011476097,0.0,0.0,[],0.03694179,58.762394,58.81773,0.14140469,16.296,11.99
21,0.0002385193643567618,-0.0001218966081933104,0.0009234491844836157,-0.0005485603956003615,0.0009234491844836157,-0.0005485603956003615,0.0015496181,-0.001123522,0.0,0.0,[],0.03691628,58.762394,58.81773,0.14140469,16.296,11.99
22,0.0002575945188800688,-0.0001333077713252351,0.0009537577261653496,-0.0005705581565962348,0.0009537577261653496,-0.0005705581565962348,0.0015154271,-0.0010998881,0.0,0.0,[],0.036890168,58.762394,58.81773,0.14140469,16.296,11.99
